no,provinsi,kabupaten/kota,tahun,total_gangguan_jiwa,jumlah_penduduk,jiwa_TPT
1,JAWA BARAT,KABUPATEN BOGOR,2014,13446,3827709,301241
2,JAWA BARAT,KABUPATEN SUKABUMI,2014,555,2438389,253105
3,JAWA BARAT,KABUPATEN CIANJUR,2014,13270,2215850,314208
4,JAWA BARAT,KABUPATEN BANDUNG,2014,13999,3492356,353426
5,JAWA BARAT,KABUPATEN GARUT,2014,19135,2185392,177891
6,JAWA BARAT,KABUPATEN TASIKMALAYA,2014,1001,1641787,105074
7,JAWA BARAT,KABUPATEN CIAMIS,2014,1093,1203200,70387
8,JAWA BARAT,KABUPATEN KUNINGAN,2014,52806,1113003,91489
9,JAWA BARAT,KABUPATEN CIREBON,2014,79576,2055780,305900
10,JAWA BARAT,KABUPATEN MAJALENGKA,2014,29246,1239625,91112
11,JAWA BARAT,KABUPATEN SUMEDANG,2014,18281,1101346,70596
12,JAWA BARAT,KABUPATEN INDRAMAYU,2014,25032,1823757,175628
13,JAWA BARAT,KABUPATEN SUBANG,2014,41,1539120,112971
14,JAWA BARAT,KABUPATEN PURWAKARTA,2014,2057,854137,80716
15,JAWA BARAT,KABUPATEN KARAWANG,2014,25745,1903115,186505
16,JAWA BARAT,KABUPATEN BEKASI,2014,610,2484478,178137
17,JAWA BARAT,KABUPATEN BANDUNG BARAT,2014,72,1550618,147929
18,JAWA BARAT,KABUPATEN PANGANDARAN,2014,4966,398603,0
19,JAWA BARAT,KOTA BOGOR,2014,41977,983156,96349
20,JAWA BARAT,KOTA SUKABUMI,2014,2560,321154,35905
21,JAWA BARAT,KOTA BANDUNG,2014,18929,2341097,256818
22,JAWA BARAT,KOTA CIREBON,2014,12802,318269,28708
23,JAWA BARAT,KOTA BEKASI,2014,29064,2382689,226355
24,JAWA BARAT,KOTA DEPOK,2014,13672,1633095,125585
25,JAWA BARAT,KOTA CIMAHI,2014,9851,513440,58686
26,JAWA BARAT,KOTA TASIKMALAYA,2014,33916,678414,44233
27,JAWA BARAT,KOTA BANJAR,2014,1472,190845,13435
28,JAWA BARAT,KABUPATEN BOGOR,2015,586,4153067,326846
29,JAWA BARAT,KABUPATEN SUKABUMI,2015,18339,2503675,259881
30,JAWA BARAT,KABUPATEN CIANJUR,2015,0,2217744,314476
31,JAWA BARAT,KABUPATEN BANDUNG,2015,19076,3494469,353640
32,JAWA BARAT,KABUPATEN GARUT,2015,5813,2186900,178014
33,JAWA BARAT,KABUPATEN TASIKMALAYA,2015,1997,1674462,107166
34,JAWA BARAT,KABUPATEN CIAMIS,2015,23099,1210733,70828
35,JAWA BARAT,KABUPATEN KUNINGAN,2015,136485,1114477,91610
36,JAWA BARAT,KABUPATEN CIREBON,2015,36139,2057343,306133
37,JAWA BARAT,KABUPATEN MAJALENGKA,2015,20632,1250180,91888
38,JAWA BARAT,KABUPATEN SUMEDANG,2015,29242,1110874,71207
39,JAWA BARAT,KABUPATEN INDRAMAYU,2015,28721,1825122,175759
40,JAWA BARAT,KABUPATEN SUBANG,2015,0,1540300,113058
41,JAWA BARAT,KABUPATEN PURWAKARTA,2015,9530,885853,83713
42,JAWA BARAT,KABUPATEN KARAWANG,2015,85866,2059742,201855
43,JAWA BARAT,KABUPATEN BEKASI,2015,23049,2486256,178265
44,JAWA BARAT,KABUPATEN BANDUNG BARAT,2015,43324,1592705,151944
45,JAWA BARAT,KABUPATEN PANGANDARAN,2015,477,402744,0
